class,meanlog,sdlog,LMAX
Malacostraca,2.83518414194776,0.355999778615602,50
Echinoidea,1.96360557133026,0.225440770200352,25
Malacostraca,2.63042411545106,0.538865186543035,30
Gastropoda,1.92471783104526,1.08107843533593,25
Gastropoda,1.23760715510691,0.0999850888164759,4
Echinoidea,1.51260003837843,0.234787889153761,8.5
Echinoidea,1.89864613555527,0.444592262766296,17
Asteroidea,2.05175952913022,0.32983387987441,30
Malacostraca,2.58699187712506,0.659254783233329,40
Malacostraca,1.27242599583766,0.0815966717692947,6
Echinoidea,2.05841622448251,0.655908389603587,10
Gastropoda,1.44826761798055,0.722073457016116,6
Cephalopoda,3.51369164421032,0.264870452286869,50
Holothuroidea,2.78220799331991,0.453795169493763,50
Holothuroidea,2.64132572393311,0.484763344730102,25
Gastropoda,1.29385788227473,0.0920599129847,3.8
Asteroidea,1.22523197509629,0.0997625597942447,7
Echinoidea,0.994338633559882,0.40472610034323,9
Gastropoda,1.3217622966364,0.0831182590938575,20
Cephalopoda,3.10464729663045,0.351621185599363,50
Cephalopoda,2.56170417647284,0.915936633793496,24.9
Asteroidea,1.44826761798055,0.722073457016116,25
Asteroidea,1.20438879065189,0.622565843075776,22
Gastropoda,1.27927917073286,0.0985889714592432,11.5
Gastropoda,1.26449213651668,0.0848959985383662,4.5
Cephalopoda,3.04470918594501,0.209233427353528,62.2714285714286
Echinoidea,1.86702708780843,0.523245058017078,17.5
Echinoidea,2.69571752860063,0.466399408666419,20.5
Echinoidea,2.07462034904993,0.67774674040148,15
Gastropoda,1.79048687292137,0.238739216049199,4.3
Asteroidea,2.01735129449152,0.370308335587084,18
Malacostraca,1.26675767988496,0.0924149273004158,5
Holothuroidea,2.87812251753108,0.19325418777063,25
Malacostraca,1.60996795129736,0.202993775984438,30
Gastropoda,1.61800147871193,0.399875950663292,9.5
Malacostraca,3.0016669804881,0.607517099541668,32
Holothuroidea,3.01143172574713,0.240000747852085,20
Asteroidea,1.91440778492935,0.263973904206709,30
Cephalopoda,3.26307138313582,0.344250318387285,90
Gastropoda,1.35030285645592,0.0734801446904347,3.5
Crinoidea,1.68503169066568,0.881886508609379,60
Asteroidea,1.70479798953763,0.531153128068243,12
Asteroidea,2.27001542796845,0.695149633401884,32
Holothuroidea,2.03193376277864,0.555499186723966,50
Holothuroidea,2.18763370834215,0.857667492811595,42.0452272727273
Malacostraca,1.22523197509629,0.0997625597942447,6
Echinoidea,2.01571996822221,0.396997756511471,10
Asteroidea,1.32904091008637,0.792211267298531,50
Echinoidea,1.64827713977179,0.378625845029673,6
Gastropoda,1.8548393279985,0.0516891751523779,5
