group,bin_mid,norm_density
combined,105.6,0.001875
fish-only,96,0.000140625
combined,105.6,0.000671875
fish-only,96,0.001765625
combined,105.6,0.001765625
fish-only,96,0.000427083333333333
combined,105.6,0.000541666666666667
fish-only,96,0.001625
combined,105.6,0.001625
fish-only,96,0.0026875
combined,105.6,0.004140625
fish-only,96,0.000578125
combined,105.6,0.00059375
fish-only,96,0.000609375
combined,105.6,0.0006875
fish-only,96,0.000921875
combined,105.6,0.001
fish-only,96,0.000921875
combined,105.6,0.000921875
fish-only,96,0.00096875
combined,105.6,0.000984375
fish-only,96,0.000421875
combined,105.6,0.000453125
fish-only,96,0.000859375
combined,105.6,0.000875
fish-only,96,0.000390625
combined,105.6,0.000484375
fish-only,96,0.00175
combined,105.6,0.00184375
fish-only,96,0.00134375
combined,105.6,0.00134375
fish-only,96,0.0053125
combined,105.6,0.00534375
fish-only,96,0.000166666666666667
combined,105.6,0.000291666666666667
fish-only,96,0.00036875
combined,105.6,0.00061875
fish-only,96,0.00169791666666667
combined,105.6,0.00190625
fish-only,96,0.002015625
combined,105.6,0.002015625
fish-only,96,0.001515625
combined,105.6,0.001578125
fish-only,96,0.0070625
combined,105.6,0.007125
fish-only,96,0.001
combined,105.6,0.00103125
fish-only,96,6.25e-05
combined,105.6,0.000125
fish-only,96,0.000328125
combined,105.6,0.000453125
fish-only,96,0.000375
combined,105.6,0.000578125
fish-only,96,0.000140625
combined,105.6,0.000140625
fish-only,96,0.0010625
combined,105.6,0.00109375
fish-only,96,0.000125
combined,105.6,0.000125
fish-only,96,0.001171875
combined,105.6,0.0011875
fish-only,96,0.000546875
combined,105.6,0.000546875
fish-only,96,1.5625e-05
combined,105.6,1.5625e-05
fish-only,96,0.00053125
combined,105.6,0.000546875
fish-only,96,0.0020625
combined,105.6,0.002125
fish-only,96,0.002578125
combined,105.6,0.00265625
fish-only,96,0.002140625
combined,105.6,0.002140625
fish-only,96,0.00375
combined,105.6,0.0039375
fish-only,96,0.005484375
combined,105.6,0.005546875
fish-only,96,0.002984375
combined,105.6,0.003125
fish-only,96,0.001453125
combined,105.6,0.001921875
fish-only,96,0.0005625
combined,105.6,0.0005625
fish-only,96,0.003859375
combined,105.6,0.00390625
fish-only,96,0.00409375
combined,105.6,0.004203125
fish-only,96,0.002703125
combined,105.6,0.0030625
fish-only,96,0.000625
combined,105.6,0.00075
fish-only,96,0.002046875
combined,105.6,0.002046875
fish-only,96,0.000578125
combined,105.6,0.0006875
fish-only,96,0.0030625
combined,105.6,0.0035625
fish-only,96,0.000578125
combined,105.6,0.00071875
fish-only,96,0.001140625
combined,105.6,0.00121875
fish-only,96,0.00078125
combined,105.6,0.00078125
fish-only,96,0.002546875
combined,105.6,0.002765625
fish-only,96,0.002265625
combined,105.6,0.002265625
fish-only,96,0.001296875
combined,105.6,0.001296875
fish-only,96,0.008890625
combined,105.6,0.008921875
fish-only,96,0.0010625
combined,105.6,0.00109375
fish-only,96,0.000640625
combined,105.6,0.000703125
fish-only,96,0.003015625
combined,105.6,0.00384375
fish-only,96,0.001453125
combined,105.6,0.001625
fish-only,96,0.001078125
combined,105.6,0.001140625
fish-only,96,0.000828125
combined,105.6,0.000859375
fish-only,96,0.000796875
combined,105.6,0.000796875
fish-only,96,0.0015625
combined,105.6,0.00159375
fish-only,96,0.001375
combined,105.6,0.00146875
fish-only,96,0.00109375
combined,105.6,0.001296875
fish-only,96,0.00078125
combined,105.6,0.001328125
fish-only,96,0.00246875
combined,105.6,0.002578125
fish-only,96,0.004171875
combined,105.6,0.005640625
fish-only,96,0.000328125
combined,105.6,0.000359375
fish-only,96,0.002984375
combined,105.6,0.003
fish-only,96,0.003328125
combined,105.6,0.00334375
fish-only,96,0.0053125
combined,105.6,0.005390625
fish-only,96,0.00059375
combined,105.6,0.000609375
fish-only,96,0.0011875
combined,105.6,0.001203125
fish-only,96,0.00246875
combined,105.6,0.002515625
fish-only,96,0.0135
combined,105.6,0.013515625
fish-only,96,0.001671875
combined,105.6,0.00175
fish-only,96,0.001375
combined,105.6,0.001390625
fish-only,96,0.0004375
combined,105.6,0.0004375
fish-only,96,0.0012734375
combined,105.6,0.0013359375
fish-only,96,0.00242578125
combined,105.6,0.0024921875
fish-only,96,0.001025
combined,105.6,0.00119375
fish-only,96,0.001890625
combined,105.6,0.001921875
fish-only,96,0.000140625
combined,105.6,0.000203125
fish-only,96,0.000734375
combined,105.6,0.001
fish-only,96,0.000421875
combined,105.6,0.000703125
fish-only,96,0.00140625
combined,105.6,0.00146875
fish-only,96,0.00359375
combined,105.6,0.00359375
fish-only,96,0.00475
combined,105.6,0.00475
fish-only,96,0.00253125
combined,105.6,0.00253125
fish-only,96,0.0015625
combined,105.6,0.0015625
fish-only,96,0.00096875
combined,105.6,0.001
fish-only,96,0.0025
combined,105.6,0.002546875
fish-only,96,0.00225
combined,105.6,0.00228125
fish-only,96,0.001609375
combined,105.6,0.001640625
fish-only,96,0.0015625
combined,105.6,0.00159375
fish-only,96,0.00121875
combined,105.6,0.00121875
fish-only,96,0.002328125
combined,105.6,0.002328125
fish-only,96,0.00378125
combined,105.6,0.00378125
fish-only,96,0.0030625
combined,105.6,0.0030625
fish-only,96,0.003609375
combined,105.6,0.003609375
fish-only,96,0.00140625
combined,105.6,0.00140625
fish-only,96,0.00396875
combined,105.6,0.0040625
fish-only,96,0.0021875
combined,105.6,0.0021875
fish-only,96,0.002515625
combined,105.6,0.002515625
fish-only,96,0.00296875
combined,105.6,0.002984375
fish-only,96,0.00265625
combined,105.6,0.002671875
fish-only,96,0.003578125
combined,105.6,0.00359375
fish-only,96,0.003265625
combined,105.6,0.00334375
fish-only,96,0.00271875
combined,105.6,0.002765625
fish-only,96,0.002875
combined,105.6,0.00290625
fish-only,96,0.0034375
combined,105.6,0.0034375
fish-only,96,0.00426041666666667
combined,105.6,0.00427083333333333
fish-only,96,0.001546875
combined,105.6,0.001625
fish-only,96,0.000484375
combined,105.6,0.000484375
fish-only,96,0.000453125
combined,105.6,0.000453125
fish-only,96,0.001078125
combined,105.6,0.00109375
fish-only,96,0.001734375
combined,105.6,0.001734375
fish-only,96,0.0008125
combined,105.6,0.000859375
fish-only,96,0.00046875
combined,105.6,0.00046875
fish-only,96,0.000953125
combined,105.6,0.000953125
fish-only,96,0.001390625
combined,105.6,0.00140625
fish-only,96,0.00225
combined,105.6,0.00225
fish-only,96,0.00184375
combined,105.6,0.00184375
fish-only,96,0.0004375
combined,105.6,0.0005625
fish-only,96,0.000234375
combined,105.6,0.00025
fish-only,96,0.002171875
combined,105.6,0.002203125
fish-only,96,0.00140625
combined,105.6,0.001421875
fish-only,96,0.0008125
combined,105.6,0.0008125
fish-only,96,0.00184375
combined,105.6,0.001890625
fish-only,96,0.0005625
combined,105.6,0.0005625
fish-only,96,0.0014375
combined,105.6,0.0014375
fish-only,96,0.0020625
combined,105.6,0.00214583333333333
fish-only,96,0.001421875
combined,105.6,0.001453125
fish-only,96,0.002328125
combined,105.6,0.00234375
fish-only,96,0.002390625
combined,105.6,0.002421875
fish-only,96,0.00234375
combined,105.6,0.00234375
fish-only,96,0.00040625
combined,105.6,0.000484375
fish-only,96,0.000359375
combined,105.6,0.00046875
fish-only,96,0.0034375
combined,105.6,0.0035
fish-only,96,0.001578125
combined,105.6,0.001625
fish-only,96,0.005046875
combined,105.6,0.005140625
fish-only,96,0.000875
combined,105.6,0.000953125
fish-only,96,0.000453125
combined,105.6,0.000484375
fish-only,96,0.001125
combined,105.6,0.0011875
fish-only,96,0.002046875
combined,105.6,0.002171875
fish-only,96,0.003171875
combined,105.6,0.00321875
fish-only,96,0.00065625
combined,105.6,0.00065625
fish-only,96,0.00571875
combined,105.6,0.005734375
fish-only,96,0.00190625
combined,105.6,0.001921875
fish-only,96,0.002859375
combined,105.6,0.002859375
fish-only,96,0.00275
combined,105.6,0.00284375
fish-only,96,0.001265625
combined,105.6,0.00134375
fish-only,96,0.00625
combined,105.6,0.006375
fish-only,96,0.0029375
combined,105.6,0.00296875
fish-only,96,0.004421875
combined,105.6,0.004484375
fish-only,96,0.00178125
combined,105.6,0.001828125
fish-only,96,0.002375
combined,105.6,0.00246875
fish-only,96,0.00253125
combined,105.6,0.002546875
fish-only,96,0.002859375
combined,105.6,0.002984375
fish-only,96,0.00184375
combined,105.6,0.001890625
fish-only,96,0.00065625
combined,105.6,0.00071875
fish-only,96,0.00040625
combined,105.6,0.00040625
fish-only,96,0.000203125
combined,105.6,0.000203125
fish-only,96,0.00096875
combined,105.6,0.00096875
fish-only,96,0.00121875
combined,105.6,0.00125
fish-only,96,0.001171875
combined,105.6,0.00121875
fish-only,96,0.000609375
combined,105.6,0.000640625
fish-only,96,0.00075
combined,105.6,0.0008125
fish-only,96,0.00028125
combined,105.6,0.00028125
fish-only,96,9.375e-05
combined,105.6,0.00028125
fish-only,96,0.00021875
combined,105.6,0.00046875
fish-only,96,9.375e-05
combined,105.6,9.375e-05
fish-only,96,0.00040625
combined,105.6,0.00121875
fish-only,96,1.5625e-05
combined,105.6,9.375e-05
fish-only,96,2.08333333333333e-05
combined,105.6,3.125e-05
fish-only,96,0.00415625
combined,105.6,0.0042109375
fish-only,96,0.00065625
combined,105.6,0.00071875
fish-only,96,0.00159375
combined,105.6,0.00159375
fish-only,96,0.0016875
combined,105.6,0.00209375
fish-only,96,0.00415625
combined,105.6,0.004375
fish-only,96,0.00021875
combined,105.6,0.00021875
fish-only,96,0.0065625
combined,105.6,0.0065625
fish-only,96,0.000296875
combined,105.6,0.000296875
fish-only,96,0.004140625
combined,105.6,0.004140625
fish-only,96,0.0028125
combined,105.6,0.0028125
fish-only,96,0.000625
combined,105.6,0.000625
fish-only,96,0.000484375
combined,105.6,0.000515625
fish-only,96,0.000375
combined,105.6,0.000390625
fish-only,96,0.000140625
combined,105.6,0.000140625
fish-only,96,9.375e-05
combined,105.6,0.00021875
fish-only,96,0.00253125
combined,105.6,0.00259375
fish-only,96,0.002265625
combined,105.6,0.00228125
fish-only,96,1.5625e-05
combined,105.6,7.8125e-05
fish-only,96,6.25e-05
combined,105.6,0.00021875
fish-only,96,7.8125e-05
combined,105.6,0.000171875
fish-only,96,4.6875e-05
combined,105.6,4.6875e-05
fish-only,96,0.0001875
combined,105.6,0.0001875
fish-only,96,1.5625e-05
combined,105.6,3.125e-05
fish-only,96,0.000822916666666667
combined,105.6,0.000864583333333333
fish-only,96,0.001921875
combined,105.6,0.002109375
fish-only,96,0.000640625
combined,105.6,0.000640625
fish-only,96,0.00053125
combined,105.6,0.000703125
fish-only,96,0.00253125
combined,105.6,0.0025546875
fish-only,96,0.000125
combined,105.6,0.00046875
fish-only,96,0.0009375
combined,105.6,0.001078125
fish-only,96,0.004796875
combined,105.6,0.0054375
fish-only,96,1.5625e-05
combined,105.6,3.125e-05
fish-only,96,0.0029375
combined,105.6,0.00303125
fish-only,96,3.125e-05
combined,105.6,6.25e-05
fish-only,96,9.375e-05
combined,105.6,0.000125
fish-only,96,0.00559375
combined,105.6,0.00559375
fish-only,96,0.00059375
combined,105.6,0.000625
fish-only,96,0.0015625
combined,105.6,0.00171875
fish-only,96,0.0019765625
combined,105.6,0.0019921875
fish-only,96,0.000828125
combined,105.6,0.000984375
fish-only,96,9.375e-05
combined,105.6,0.00025
fish-only,96,4.16666666666667e-05
combined,105.6,0.000177083333333333
fish-only,96,1.04166666666667e-05
combined,105.6,8.33333333333333e-05
fish-only,96,4.16666666666667e-05
combined,105.6,0.00025
fish-only,96,5.20833333333333e-05
combined,105.6,0.000166666666666667
fish-only,96,0.001578125
combined,105.6,0.001609375
fish-only,96,0.0005390625
combined,105.6,0.0006328125
fish-only,96,0.000145833333333333
combined,105.6,0.0001875
fish-only,96,0.00096875
combined,105.6,0.000984375
fish-only,96,0.002125
combined,105.6,0.0021875
fish-only,96,0.0055625
combined,105.6,0.005625
fish-only,96,0.00075
combined,105.6,0.001
fish-only,96,5.46875e-05
combined,105.6,0.0001640625
fish-only,96,7.03125e-05
combined,105.6,0.000171875
fish-only,96,1.5625e-05
combined,105.6,1.5625e-05
fish-only,96,0.001171875
combined,105.6,0.00184375
fish-only,96,1.5625e-05
combined,105.6,9.375e-05
fish-only,96,9.375e-05
combined,105.6,0.00010625
fish-only,96,1.5625e-05
combined,105.6,0.00015625
fish-only,96,6.25e-05
combined,105.6,0.00015625
fish-only,96,4.6875e-05
combined,105.6,4.6875e-05
fish-only,96,9.375e-05
combined,105.6,9.375e-05
fish-only,96,0.0224166666666667
combined,105.6,0.0225520833333333
fish-only,96,0.0020625
combined,105.6,0.00215625
fish-only,96,0.00132291666666667
combined,105.6,0.00133333333333333
fish-only,96,0.00682291666666667
combined,105.6,0.00694791666666667
fish-only,96,0.0016875
combined,105.6,0.001875
fish-only,96,0.00015625
combined,105.6,0.0003125
fish-only,96,0.00678125
combined,105.6,0.0068125
fish-only,96,3.125e-05
combined,105.6,3.125e-05
fish-only,96,3.125e-05
combined,105.6,3.125e-05
fish-only,96,0.00165625
combined,105.6,0.00172916666666667
fish-only,96,0.0008046875
combined,105.6,0.000890625
fish-only,96,0.00185416666666667
combined,105.6,0.00185416666666667
fish-only,96,0.000125
combined,105.6,0.000229166666666667
fish-only,96,0.0026875
combined,105.6,0.0026875
fish-only,96,2.08333333333333e-05
combined,105.6,0.000125
fish-only,96,9.375e-05
combined,105.6,9.375e-05
fish-only,96,0.000109375
combined,105.6,0.000390625
fish-only,96,7.8125e-05
combined,105.6,0.000140625
fish-only,96,0.00101041666666667
combined,105.6,0.00110416666666667
fish-only,96,0.000427083333333333
combined,105.6,0.000427083333333333
fish-only,96,0.00021875
combined,105.6,0.00021875
fish-only,96,0.00015625
combined,105.6,0.000203125
fish-only,96,0.00021875
combined,105.6,0.00021875
fish-only,96,6.25e-05
combined,105.6,0.0003125
fish-only,96,0.000984375
combined,105.6,0.000984375
fish-only,96,0.000109375
combined,105.6,0.00028125
fish-only,96,1.5625e-05
combined,105.6,0.000109375
fish-only,96,3.125e-05
combined,105.6,0.0001875
fish-only,96,0.00440625
combined,105.6,0.004515625
fish-only,96,0.00203125
combined,105.6,0.0023125
fish-only,96,0.00446875
combined,105.6,0.004734375
fish-only,96,0.002875
combined,105.6,0.0030625
fish-only,96,0.001375
combined,105.6,0.001375
fish-only,96,0.0010625
combined,105.6,0.0018125
fish-only,96,0.00115625
combined,105.6,0.001234375
fish-only,96,0.0006875
combined,105.6,0.00103125
fish-only,96,0.003
combined,105.6,0.003125
fish-only,96,0.000421875
combined,105.6,0.000484375
fish-only,96,0.003984375
combined,105.6,0.004078125
fish-only,96,0.002171875
combined,105.6,0.00221875
fish-only,96,0.000515625
combined,105.6,0.00053125
fish-only,96,0.00028125
combined,105.6,0.00034375
fish-only,96,0.003484375
combined,105.6,0.003546875
fish-only,96,0.0005625
combined,105.6,0.000578125
fish-only,96,0.001359375
combined,105.6,0.001453125
fish-only,96,0.002890625
combined,105.6,0.00296875
fish-only,96,0.00265625
combined,105.6,0.002703125
fish-only,96,0.001203125
combined,105.6,0.00140625
fish-only,96,0.000921875
combined,105.6,0.000921875
fish-only,96,0.00121875
combined,105.6,0.001296875
fish-only,96,0.00165625
combined,105.6,0.00165625
fish-only,96,0.00059375
combined,105.6,0.00059375
fish-only,96,0.00090625
combined,105.6,0.00090625
fish-only,96,0.000765625
combined,105.6,0.00078125
fish-only,96,0.001234375
combined,105.6,0.001359375
fish-only,96,0.00209375
combined,105.6,0.002140625
fish-only,96,0.0036875
combined,105.6,0.003703125
fish-only,96,0.001578125
combined,105.6,0.001578125
fish-only,96,0.0013125
combined,105.6,0.0013125
fish-only,96,0.00296875
combined,105.6,0.00303125
fish-only,96,0.00178125
combined,105.6,0.00184375
fish-only,96,0.0021875
combined,105.6,0.0021875
fish-only,96,0.001640625
combined,105.6,0.00171875
fish-only,96,0.000765625
combined,105.6,0.000765625
fish-only,96,0.00165625
combined,105.6,0.00178125
fish-only,96,0.001703125
combined,105.6,0.001703125
fish-only,96,0.001078125
combined,105.6,0.001078125
fish-only,96,0.00025
combined,105.6,0.000453125
fish-only,96,0.001625
combined,105.6,0.00175
fish-only,96,0.001296875
combined,105.6,0.001359375
fish-only,96,0.001359375
combined,105.6,0.001359375
fish-only,96,0.00053125
combined,105.6,0.00053125
fish-only,96,0.001125
combined,105.6,0.001125
fish-only,96,0.001109375
combined,105.6,0.001109375
fish-only,96,5e-04
combined,105.6,5e-04
fish-only,96,0.000796875
combined,105.6,0.000796875
fish-only,96,0.00140625
combined,105.6,0.00140625
fish-only,96,0.000171875
combined,105.6,0.000640625
fish-only,96,0.00121875
combined,105.6,0.001390625
fish-only,96,0.006
combined,105.6,0.006078125
fish-only,96,0.001828125
combined,105.6,0.002046875
fish-only,96,0.003375
combined,105.6,0.0034375
fish-only,96,0.002234375
combined,105.6,0.002359375
fish-only,96,0.0020625
combined,105.6,0.002140625
fish-only,96,0.00115625
combined,105.6,0.001171875
fish-only,96,0.000375
combined,105.6,0.000375
fish-only,96,3.125e-05
combined,105.6,9.375e-05
fish-only,96,9.375e-05
combined,105.6,0.0001875
fish-only,96,0.001265625
combined,105.6,0.001359375
fish-only,96,3.125e-05
combined,105.6,6.25e-05
fish-only,96,0.0001875
combined,105.6,0.000234375
fish-only,96,0.000890625
combined,105.6,0.00090625
fish-only,96,3.125e-05
combined,105.6,3.125e-05
fish-only,96,0.000796875
combined,105.6,0.000796875
fish-only,96,4.6875e-05
combined,105.6,9.375e-05
fish-only,96,1.5625e-05
combined,105.6,5e-04
fish-only,96,4.6875e-05
combined,105.6,9.375e-05
fish-only,96,0.00028125
combined,105.6,0.00128125
fish-only,96,0.0003125
combined,105.6,0.000359375
fish-only,96,0.000109375
combined,105.6,0.000109375
fish-only,96,0.012640625
combined,105.6,0.01265625
fish-only,96,0.000984375
combined,105.6,0.001078125
fish-only,96,0.00203125
combined,105.6,0.0020625
fish-only,96,0.00075
combined,105.6,0.00078125
fish-only,96,0.00015625
combined,105.6,0.00015625
fish-only,96,0.000203125
combined,105.6,0.000234375
fish-only,96,4.16666666666667e-05
combined,105.6,6.25e-05
fish-only,96,4.6875e-05
combined,105.6,0.0001875
fish-only,96,0.000109375
combined,105.6,0.000296875
fish-only,96,3.125e-05
combined,105.6,0.000125
fish-only,96,4.16666666666667e-05
combined,105.6,9.375e-05
fish-only,96,6.25e-05
combined,105.6,0.000125
fish-only,96,2.34375e-05
combined,105.6,6.25e-05
fish-only,96,0.000484375
combined,105.6,0.0004921875
fish-only,96,1.171875e-05
combined,105.6,3.515625e-05
fish-only,96,2.34375e-05
combined,105.6,6.25e-05
fish-only,96,9.375e-05
combined,105.6,0.000125
fish-only,96,8.203125e-05
combined,105.6,0.00012890625
fish-only,96,3.125e-05
combined,105.6,8.59375e-05
fish-only,96,7.03125e-05
combined,105.6,0.0001484375
fish-only,96,4.6875e-05
combined,105.6,5.46875e-05
fish-only,96,1.5625e-05
combined,105.6,0.0001953125
fish-only,96,1.5625e-05
combined,105.6,2.34375e-05
fish-only,96,2.34375e-05
combined,105.6,5.46875e-05
fish-only,96,0.000109375
combined,105.6,0.00015625
fish-only,96,1.5625e-05
combined,105.6,8.59375e-05
fish-only,96,7.8125e-05
combined,105.6,0.0006171875
fish-only,96,4.6875e-05
combined,105.6,6.25e-05
fish-only,96,0.0002109375
combined,105.6,0.0002578125
fish-only,96,0.09084375
combined,105.6,0.0917421875
fish-only,96,0.00025
combined,105.6,0.00025
fish-only,96,0.00021875
combined,105.6,0.00021875
fish-only,96,0.000734375
combined,105.6,0.0009375
fish-only,96,0.0001875
combined,105.6,0.0009375
fish-only,96,0.00121875
combined,105.6,0.0021875
fish-only,96,0.00128125
combined,105.6,0.00128125
fish-only,96,0.00428125
combined,105.6,0.0043125
fish-only,96,0.001625
combined,105.6,0.001625
fish-only,96,0.02009375
combined,105.6,0.02009375
fish-only,96,0.0136875
combined,105.6,0.0136875
fish-only,96,0.01140625
combined,105.6,0.01140625
fish-only,96,0.07903125
combined,105.6,0.07903125
fish-only,96,0.02534375
combined,105.6,0.02534375
fish-only,96,5e-04
combined,105.6,5e-04
fish-only,96,0.00053125
combined,105.6,0.00053125
fish-only,96,4.6875e-05
combined,105.6,9.375e-05
fish-only,96,0.000453125
combined,105.6,0.006625
fish-only,96,9.375e-05
combined,105.6,0.0081875
fish-only,96,0.00034375
combined,105.6,0.003453125
fish-only,96,0.000171875
combined,105.6,0.00603125
fish-only,96,0.000421875
combined,105.6,0.00075
fish-only,96,9.375e-05
combined,105.6,9.375e-05
fish-only,96,1.04166666666667e-05
combined,105.6,0.000802083333333333
fish-only,96,0.000375
combined,105.6,0.000625
fish-only,96,3.90625e-05
combined,105.6,0.0007109375
fish-only,96,0.00200625
combined,105.6,0.0020375
fish-only,96,1.04166666666667e-05
combined,105.6,5.20833333333333e-05
fish-only,96,3.125e-05
combined,105.6,0.000458333333333333
fish-only,96,3.125e-05
combined,105.6,0.00065
fish-only,96,9.375e-05
combined,105.6,0.00090625
fish-only,96,0.000520833333333333
combined,105.6,0.000895833333333333
fish-only,96,0.000213541666666667
combined,105.6,0.000260416666666667
fish-only,96,0.000307291666666667
combined,105.6,0.000432291666666667
fish-only,96,0.00015625
combined,105.6,0.00046875
fish-only,96,1.5625e-05
combined,105.6,0.000109375
fish-only,96,0.0001375
combined,105.6,0.000225
fish-only,96,4.01785714285714e-05
combined,105.6,0.000299107142857143
fish-only,96,7.8125e-05
combined,105.6,0.000171875
fish-only,96,0.00016796875
combined,105.6,0.00032421875
fish-only,96,0.00122916666666667
combined,105.6,0.00161458333333333
fish-only,96,1.04166666666667e-05
combined,105.6,0.000135416666666667
fish-only,96,2.08333333333333e-05
combined,105.6,0.00028125
fish-only,96,0.00071875
combined,105.6,0.00075
fish-only,96,9.72222222222222e-05
combined,105.6,0.00059375
fish-only,96,0.000234375
combined,105.6,0.0003125
fish-only,96,0.0003515625
combined,105.6,0.0005546875
fish-only,96,0.000140625
combined,105.6,0.0001875
fish-only,96,0.000703125
combined,105.6,0.000921875
fish-only,96,0.000479166666666667
combined,105.6,0.000822916666666667
fish-only,96,0.00015625
combined,105.6,0.0001875
fish-only,96,0.00028125
combined,105.6,5e-04
fish-only,96,0.000380514705882353
combined,105.6,0.000737132352941177
fish-only,96,0.000166666666666667
combined,105.6,0.000333333333333333
fish-only,96,0.0004375
combined,105.6,0.000609375
fish-only,96,0.00025
combined,105.6,0.000572916666666667
fish-only,96,0.00071875
combined,105.6,0.00075
fish-only,96,0.0002421875
combined,105.6,0.0006328125
fish-only,96,0.000125
combined,105.6,0.00028125
fish-only,96,3.125e-05
combined,105.6,0.000703125
fish-only,96,0.000256696428571429
combined,105.6,0.000430803571428571
fish-only,96,1.04166666666667e-05
combined,105.6,0.0010625
fish-only,96,1.25e-05
combined,105.6,0.0005125
fish-only,96,0.0003125
combined,105.6,0.000875
fish-only,96,0.000334821428571429
combined,105.6,0.0005625
fish-only,96,0.000125
combined,105.6,0.00065625
fish-only,96,0.0006171875
combined,105.6,0.0011015625
fish-only,96,0.000375
combined,105.6,0.0006875
fish-only,96,3.125e-05
combined,105.6,0.00134375
fish-only,96,0.00015625
combined,105.6,0.000625
fish-only,96,4.6875e-05
combined,105.6,0.00040625
fish-only,96,0.00084375
combined,105.6,0.0010625
fish-only,96,0.0001171875
combined,105.6,0.0003671875
fish-only,96,0.0001875
combined,105.6,0.000458333333333333
fish-only,96,3.90625e-05
combined,105.6,0.0004453125
fish-only,96,0.000186458333333333
combined,105.6,0.000535416666666667
fish-only,96,0.000286458333333333
combined,105.6,0.000484375
fish-only,96,0.000224431818181818
combined,105.6,0.000380681818181818
fish-only,96,0.00110590277777778
combined,105.6,0.00158940972222222
fish-only,96,0.0003125
combined,105.6,0.000515625
fish-only,96,0.000314732142857143
combined,105.6,0.000879464285714286
fish-only,96,0.000333333333333333
combined,105.6,0.000763888888888889
fish-only,96,0.000215460526315789
combined,105.6,0.000402960526315789
fish-only,96,0.000389423076923077
combined,105.6,0.000513221153846154
fish-only,96,0.000982142857142857
combined,105.6,0.00185044642857143
fish-only,96,0.000130681818181818
combined,105.6,0.000257102272727273
fish-only,96,0.000167410714285714
combined,105.6,0.000303571428571429
fish-only,96,0.00051953125
combined,105.6,0.000623046875
fish-only,96,0.00045625
combined,105.6,0.000719791666666667
fish-only,96,0.000235795454545455
combined,105.6,0.000383522727272727
fish-only,96,0.0296595394736842
combined,105.6,0.03021875
fish-only,96,0.0002265625
combined,105.6,0.0006640625
fish-only,96,0.003625
combined,105.6,0.004046875
fish-only,96,0.0004375
combined,105.6,0.000625
fish-only,96,0.000851063829787234
combined,105.6,0.00239228723404255
fish-only,96,0.00040625
combined,105.6,0.0015625
fish-only,96,0.000745192307692308
combined,105.6,0.00110216346153846
fish-only,96,0.00378927364864865
combined,105.6,0.00400802364864865
fish-only,96,0.00225260416666667
combined,105.6,0.0024765625
fish-only,96,0.011896875
combined,105.6,0.0127234375
fish-only,96,0.00184088010204082
combined,105.6,0.00193941326530612
fish-only,96,0.00150625
combined,105.6,0.00154375
fish-only,96,0.00832291666666667
combined,105.6,0.00848958333333333
fish-only,96,0.00040625
combined,105.6,0.001203125
fish-only,96,0.0009375
combined,105.6,0.00130357142857143
fish-only,96,0.00559375
combined,105.6,0.00572395833333333
fish-only,96,0.000982142857142857
combined,105.6,0.00190178571428571
fish-only,96,0.000448863636363636
combined,105.6,0.00117613636363636
fish-only,96,0.000484375
combined,105.6,0.00120833333333333
fish-only,96,0.000833333333333333
combined,105.6,0.00187708333333333
fish-only,96,0.00440089285714286
combined,105.6,0.00451428571428571
fish-only,96,0.00821875
combined,105.6,0.00852083333333333
fish-only,96,0.028365625
combined,105.6,0.029209375
fish-only,96,0.011078125
combined,105.6,0.011328125
fish-only,96,0.0099765625
combined,105.6,0.0101953125
fish-only,96,0.003
combined,105.6,0.00315056818181818
fish-only,96,0.0003125
combined,105.6,0.00103125
fish-only,96,0.00219196428571429
combined,105.6,0.00259821428571429
fish-only,96,0.00772165697674419
combined,105.6,0.00787063953488372
fish-only,96,0.000375
combined,105.6,0.000583333333333333
fish-only,96,0.0114955357142857
combined,105.6,0.0116473214285714
fish-only,96,0.00059375
combined,105.6,0.00078125
fish-only,96,0.00209375
combined,105.6,0.00222916666666667
fish-only,96,0.0009140625
combined,105.6,0.0010703125
fish-only,96,0.00317548076923077
combined,105.6,0.00326442307692308
fish-only,96,0.001046875
combined,105.6,0.00190625
fish-only,96,0.000390625
combined,105.6,0.000828125
fish-only,96,0.00046875
combined,105.6,0.00046875
fish-only,96,0.0039375
combined,105.6,0.00424375
fish-only,96,0.0194375
combined,105.6,0.019515625
fish-only,96,0.0076875
combined,105.6,0.00798177083333333
fish-only,96,0.00148900462962963
combined,105.6,0.00185358796296296
fish-only,96,0.00071875
combined,105.6,0.00090625
fish-only,96,0.000661458333333333
combined,105.6,0.000979166666666667
fish-only,96,0.00028125
combined,105.6,0.00034375
fish-only,96,0.000359375
combined,105.6,0.0004375
fish-only,96,0.001046875
combined,105.6,0.001265625
fish-only,96,0.000296875
combined,105.6,0.000625
fish-only,96,0.0001875
combined,105.6,0.000234375
fish-only,96,0.000375
combined,105.6,0.0004375
fish-only,96,0.000515625
combined,105.6,0.000609375
fish-only,96,0.000421875
combined,105.6,0.0004375
fish-only,96,0.000203125
combined,105.6,0.00025
fish-only,96,0.000796875
combined,105.6,0.0009375
fish-only,96,0.000421875
combined,105.6,0.0005625
fish-only,96,0.000140625
combined,105.6,0.000546875
fish-only,96,0.00040625
combined,105.6,0.000453125
fish-only,96,0.001703125
combined,105.6,0.002046875
fish-only,96,0.000375
combined,105.6,0.000390625
fish-only,96,6.25e-05
combined,105.6,0.00015625
fish-only,96,0.0034375
combined,105.6,0.0034375
