group,bin_mid,norm_density
fish-only,48,0.00284375
combined,52.8,0.0195625
fish-only,48,0.0008125
combined,52.8,0.0454375
fish-only,48,0.003375
combined,52.8,0.155125
fish-only,48,5e-04
combined,52.8,0.0405625
fish-only,48,0.0003125
combined,52.8,0.1140625
fish-only,48,0.0011875
combined,52.8,0.264
fish-only,48,9.375e-05
combined,52.8,0.03103125
fish-only,48,0.00021875
combined,52.8,0.00134375
fish-only,48,0.00053125
combined,52.8,0.002875
fish-only,48,0.00059375
combined,52.8,0.00078125
fish-only,48,0.0001875
combined,52.8,0.01153125
fish-only,48,0.00015625
combined,52.8,0.00203125
fish-only,48,0.0084375
combined,52.8,0.008875
fish-only,48,0.01840625
combined,52.8,0.01853125
fish-only,48,5e-04
combined,52.8,0.01228125
fish-only,48,0.00609375
combined,52.8,0.00615625
fish-only,48,0.0106875
combined,52.8,0.01075
fish-only,48,0.00578125
combined,52.8,0.00584375
fish-only,48,0.01475
combined,52.8,0.01490625
fish-only,48,0.00171875
combined,52.8,0.00175
fish-only,48,0.00640625
combined,52.8,0.00640625
fish-only,48,0.00103125
combined,52.8,0.00103125
fish-only,48,0.00296875
combined,52.8,0.00340625
fish-only,48,0.00975
combined,52.8,0.00990625
fish-only,48,0.0125
combined,52.8,0.01253125
fish-only,48,0.00134375
combined,52.8,0.0263125
fish-only,48,0.00125
combined,52.8,0.01040625
fish-only,48,0.0005625
combined,52.8,0.005
fish-only,48,0.000375
combined,52.8,0.00596875
fish-only,48,0.00046875
combined,52.8,0.00271875
fish-only,48,0.00078125
combined,52.8,0.005
fish-only,48,0.0004375
combined,52.8,0.01434375
fish-only,48,0.00090625
combined,52.8,0.00759375
fish-only,48,0.00015625
combined,52.8,0.001
fish-only,48,0.000125
combined,52.8,0.00071875
fish-only,48,0.00053125
combined,52.8,0.01028125
fish-only,48,0.00084375
combined,52.8,0.0234375
fish-only,48,0.00109375
combined,52.8,0.00115625
fish-only,48,0.00165625
combined,52.8,0.00353125
fish-only,48,0.00128125
combined,52.8,0.003
fish-only,48,5e-04
combined,52.8,0.00203125
fish-only,48,0.001375
combined,52.8,0.02840625
fish-only,48,0.00171875
combined,52.8,0.00715625
fish-only,48,0.0003125
combined,52.8,0.0129375
fish-only,48,0.00078125
combined,52.8,0.0070625
fish-only,48,0.00159375
combined,52.8,0.00609375
fish-only,48,0.00046875
combined,52.8,5e-04
fish-only,48,0.0008125
combined,52.8,0.02009375
fish-only,48,0.00371875
combined,52.8,0.0049375
fish-only,48,0.00776041666666667
combined,52.8,0.00791666666666667
fish-only,48,0.00458333333333333
combined,52.8,0.00489583333333333
fish-only,48,0.00589583333333333
combined,52.8,0.00591666666666667
fish-only,48,0.0015
combined,52.8,0.1433125
fish-only,48,0.0026875
combined,52.8,0.02
fish-only,48,0.0003125
combined,52.8,0.00275
fish-only,48,0.0008125
combined,52.8,0.0078125
fish-only,48,0.0001875
combined,52.8,0.0046875
fish-only,48,0.0015
combined,52.8,0.0075625
fish-only,48,3.125e-05
combined,52.8,5e-04
fish-only,48,7.8125e-05
combined,52.8,0.00603125
fish-only,48,3.125e-05
combined,52.8,0.0045
fish-only,48,9.375e-05
combined,52.8,9.375e-05
fish-only,48,0.00289375
combined,52.8,0.02536875
fish-only,48,0.00122916666666667
combined,52.8,0.01775
fish-only,48,0.00610763888888889
combined,52.8,0.0294375
fish-only,48,0.00114930555555556
combined,52.8,0.0296979166666667
fish-only,48,0.0158173076923077
combined,52.8,0.0325432692307692
fish-only,48,0.011015625
combined,52.8,0.02390625
fish-only,48,0.00825892857142857
combined,52.8,0.0232991071428571
fish-only,48,0.00163020833333333
combined,52.8,0.014578125
fish-only,48,0.00057421875
combined,52.8,0.01591796875
fish-only,48,0.00220625
combined,52.8,0.01350625
fish-only,48,0.0129375
combined,52.8,0.0263973214285714
fish-only,48,0.0024077380952381
combined,52.8,0.0134434523809524
fish-only,48,0.003796875
combined,52.8,0.01801875
fish-only,48,0.0256614583333333
combined,52.8,0.0258489583333333
fish-only,48,0.0198515625
combined,52.8,0.02312890625
fish-only,48,0.00377403846153846
combined,52.8,0.00896153846153846
fish-only,48,0.00853645833333333
combined,52.8,0.02328125
fish-only,48,0.000369791666666667
combined,52.8,0.0188177083333333
fish-only,48,0.003125
combined,52.8,0.026609375
fish-only,48,0.0159791666666667
combined,52.8,0.064125
fish-only,48,0.00916666666666667
combined,52.8,0.0100763888888889
fish-only,48,0.00839583333333333
combined,52.8,0.0209722222222222
fish-only,48,0.00055
combined,52.8,0.019403125
fish-only,48,0.00266145833333333
combined,52.8,0.0157239583333333
fish-only,48,0.0031375
combined,52.8,0.032125
fish-only,48,0.01421875
combined,52.8,0.0229375
fish-only,48,0.06653125
combined,52.8,0.069375
