slope_diff,lat,lon
-0.0578428190150224,5.88147,95.25631
-0.0213071579830233,5.87792,95.35384
-0.116230330560053,5.86718,95.2696
0.00592273513768271,5.89787,95.25255
-0.0678501088941477,5.6639,95.09202
-0.0263228176403483,5.64638,95.16272
-0.0139221967514644,5.84835,95.28406
-0.0159976001022253,5.88585,95.25413
0.018656284699035,5.87248,95.26192
-0.0163325108539101,5.77726,95.33671
-0.0392580147915931,5.80058,95.34664
-0.0324382255128253,5.88102,95.26021
-0.0024156827432944,5.88679,95.25651
-0.00710278652228702,5.88277,95.24911
-0.00487011438580609,5.88289,95.25118
-0.0255261749379918,5.85724,95.361378
-0.0322821909272584,5.89158,95.34356
-0.0232705591964821,5.87715,95.31384
-0.0332739252562235,5.86461,95.26884
-0.0345155762340528,5.8543,95.27358
-0.0192325485884721,5.87207,95.26658
-0.000848551730940006,5.60681,95.19375
-0.0242205566601452,5.89492,95.25287
-0.0255111738598504,5.6291,95.13154
-0.0278577315032194,5.88529,95.25431
-0.0507036037138953,5.63217,95.13788
-0.0621046722486358,5.66782,95.12632
-0.0273268679174459,5.89528,95.25436
-0.00327075274533373,5.89083,95.25436
-0.0525455641865555,5.82587,95.37793
0.00146125790874008,-3.73226,128.13721
0.0133593899531808,-3.73631,128.1349
-0.0147830775930253,-3.71001,128.10204
0.0057760940821554,-3.71814,128.09338
-0.0217733590566818,-3.7677,128.1541
-0.0213349480327283,-23.53652,151.75731
0.0130615264060741,-23.175483,151.908633
-0.0101026068995835,-23.1762,151.91215
0.0005413145754809,-23.1778,151.915433
-0.0196789854449129,-23.5341,151.74968
-0.0281595884677106,-23.532958,151.745159
-0.0351721632343218,-23.49835,151.7747
-0.0146397064308867,-23.49845,151.7789
-0.0120855560837652,-23.50019,151.78232
-0.0685444746624069,-23.25245,151.94545
-0.0106699598196733,-23.249566,151.94255
-0.00584517222247727,-23.257383,151.947133
0.0104609444688601,10.25911,169.98007
-0.0159535183487962,10.22592,169.92878
-0.0173494341605231,10.2822,169.97562
-0.0226579152114341,10.22375,169.96187
-0.013220252029261,10.292,169.85435
-0.0199109764394168,10.25921,169.87247
-0.0253704957857446,10.39396,169.91481
-0.000710532963649868,10.40857,169.91403
-0.00684378880203185,10.35851,169.90865
-0.000509251837643943,10.29374,169.85294
-0.367698476930453,36.4149,-5.17
-0.381369515128215,36.818073,-2.54291
-0.26572061016576,36.817398,-2.545138
-0.359581435744073,36.813491,-2.041086
-0.24199658205008,36.824308,-2.518449
-0.254649946175361,36.818552,-2.533686
-0.191167154539815,36.76189,-2.101263
-0.390816394684109,36.813957,-2.559509
-0.313564200130878,36.773703,-2.069534
-0.357561540352311,36.936878,-1.935685
-0.33927661073182,36.4776,-4.9725
-0.331632537191893,36.920171,-1.952525
-0.313421161290252,36.752474,-2.114065
-0.254800615728357,36.767256,-2.078923
-0.25266222662557,36.739539,-2.114065
-0.276926224993895,36.883397,-2.000633
-0.254938293347991,36.86206,-2.004003
-0.302811107066263,36.820985,-2.04086
-0.351270617166698,36.936167,-1.912636
-0.310719391907488,36.935636,-1.909694
-0.310197764394107,36.897792,-1.967786
-0.294975635542573,36.5061,-4.8926
-0.320711057153909,36.897792,-1.967786
-0.34941661440845,36.824671,-2.5124
-0.379370721251848,36.827938,-2.491041
-0.40685808216211,36.817418,-2.553114
-0.265320251019663,36.817431,-2.549364
-0.291173698149497,36.779832,-2.061853
-0.308485490288221,36.789917,-2.060558
-0.298406661483833,36.853246,-1.997806
-0.342053951780721,36.702335,-3.406356
-0.281336177943068,36.71564,-3.362273
-0.319366806994264,36.4844,-4.7388
-0.310576720441863,36.73958,-3.325981
-0.355973601896039,36.736276,-3.340237
-0.354969700630623,36.748466,-3.176319
-0.527085684115506,36.699064,-2.85448
-0.350832933631074,36.742911,-3.6742911
-0.303569961099885,36.735789,-3.757623
-0.314033255161153,36.720552,-3.728413
-0.324240863985767,36.706799,-3.402366
-0.303361074036804,36.708753,-3.388674
-0.451361033769695,36.744193,-3.602404
-0.432580518212307,36.5063,-4.6435
-0.498724279841859,36.5063,-4.6435
-0.384642494923755,36.57911,-4.54429
-0.187253614684948,36.729486,-3.768328
-0.305255942490831,36.731216,-3.771111
-0.375833603316018,36.753408,-3.836721
-0.303250268411776,36.425684,-5.124615
-0.344677944419141,36.451485,-5.049381
-0.0924613392724298,36.004045,-5.612578
-0.115113221795716,36.001539,-5.612479
-0.270805311137973,36.819235,-2.537225
-0.259008276130384,36.7026,-3.4111
-0.0949549938760814,36.004332,-5.606493
-0.230525037023117,35.93983,-3.032507
-0.238179804099646,36.716116,-3.361789
-0.258605876491707,36.707784,-3.389196
-0.249614768422059,36.992719,-1.886443
-0.319834615342526,37.34797,-1.652119
