lat,lon,slope_fish,slope_comb,slope_diff
5.88147,95.25631,-2.23453446277455,-2.20035810476633,0.0341763580082146
5.87792,95.35384,-2.43870414507132,-2.30464051925691,0.134063625814407
5.86718,95.2696,-2.3748426306453,-2.08013262030043,0.294710010344867
5.89787,95.25255,-2.45603603063437,-2.29467755380269,0.161358476831676
5.6639,95.09202,-2.09860428819033,-2.1376996171905,-0.0390953290001721
5.64638,95.16272,-2.24039101533322,-2.17745371820688,0.0629372971263362
5.84835,95.28406,-2.35312319990303,-2.25348582435501,0.0996373755480238
5.88585,95.25413,-2.35347087962537,-2.25168627617816,0.101784603447213
5.87248,95.26192,-2.55562086484654,-2.44399667656548,0.111624188281062
5.77726,95.33671,-2.32185727550723,-2.24809677680665,0.0737604987005796
5.80058,95.34664,-2.33879029687254,-2.31299786084833,0.0257924360242123
5.88102,95.26021,-2.28157621763353,-2.21287939339028,0.0686968242432449
5.88679,95.25651,-2.45316965677818,-2.3356882170078,0.117481439770384
5.88277,95.24911,-2.44008754868571,-2.34881044441651,0.0912771042692002
5.88289,95.25118,-2.39831755635653,-2.31225185767297,0.0860656986835608
5.85724,95.361378,-2.34290996785679,-2.28291054243432,0.0599994254224727
5.89158,95.34356,-2.26574402125114,-2.21432135027645,0.0514226709746901
5.87715,95.31384,-2.36632099551677,-2.28985277697502,0.0764682185417493
5.86461,95.26884,-2.33359785293531,-2.17841140421611,0.155186448719202
5.8543,95.27358,-2.31227489749807,-2.27474251966371,0.0375323778343604
5.87207,95.26658,-2.31561679470357,-2.23879292529087,0.0768238694126993
5.60681,95.19375,-2.36208681468233,-2.25955854433763,0.102528270344706
5.89492,95.25287,-2.27974799569709,-2.2280936248172,0.05165437087989
5.6291,95.13154,-2.31779464274672,-2.25821979998925,0.0595748427574669
5.88529,95.25431,-2.36818930574572,-2.30157461452313,0.0666146912225929
5.63217,95.13788,-2.25045445519238,-2.22980580524325,0.0206486499491305
5.66782,95.12632,-2.16458788795402,-2.18986128336574,-0.0252733954117166
5.89528,95.25436,-2.29306350973649,-2.22687600900668,0.0661875007298063
5.89083,95.25436,-2.42486358395348,-2.32141286993242,0.103450714021059
5.82587,95.37793,-2.24469531702175,-2.22670859045573,0.0179867265660194
-3.73226,128.13721,-2.3903425404464,-2.33838921711331,0.051953323333092
-3.73631,128.1349,-2.44386618787623,-2.45949911812166,-0.0156329302454341
-3.71001,128.10204,-2.38620827463135,-2.3937643519753,-0.00755607734395314
-3.71814,128.09338,-2.41292513854129,-2.43681333597544,-0.0238881974341498
-3.7677,128.1541,-2.36444986072842,-2.44854518165741,-0.0840953209289928
-23.53652,151.75731,-2.03965472923509,-2.08069838151289,-0.0410436522778004
-23.175483,151.908633,-2.05482451764654,-2.03096046355221,0.023864054094326
-23.1762,151.91215,-1.98869833832506,-2.01000551680176,-0.0213071784766938
-23.1778,151.915433,-2.15928544619598,-2.15705303231542,0.00223241388055939
-23.5341,151.74968,-2.07199285859087,-2.10601677277177,-0.0340239141808976
-23.532958,151.745159,-1.86323312139539,-1.93334214486329,-0.0701090234679009
-23.49835,151.7747,-1.88956128871287,-1.96177571085,-0.0722144221371384
-23.49845,151.7789,-1.95508984785392,-1.98753069406553,-0.0324408462116077
-23.50019,151.78232,-2.01210683979175,-2.03848041044898,-0.0263735706572343
-23.25245,151.94545,-2.12091788394762,-2.11945646628982,0.00146141765779761
-23.249566,151.94255,-2.00353834051382,-2.01515917061853,-0.0116208301047123
-23.257383,151.947133,-1.91134694423451,-1.9333037031116,-0.0219567588770901
10.25911,169.98007,-1.69061098382731,-1.69798963373628,-0.00737864990897053
10.22592,169.92878,-1.77148177665183,-1.79859464343678,-0.0271128667849543
10.2822,169.97562,-1.59293798571072,-1.62028569367116,-0.0273477079604358
10.22375,169.96187,-1.5829411955832,-1.61812067788726,-0.0351794823040523
10.292,169.85435,-1.64586366244745,-1.66143699392927,-0.0155733314818187
10.25921,169.87247,-1.72606306699798,-1.72641013815956,-0.000347071161580281
10.39396,169.91481,-1.60043163145804,-1.63763719293426,-0.0372055614762217
10.40857,169.91403,-1.81762331609896,-1.80204929152006,0.0155740245789002
10.35851,169.90865,-1.75910712714495,-1.76340623133496,-0.00429910419000668
10.29374,169.85294,-1.63037482705987,-1.62972561768056,0.00064920937931312
36.4149,-5.17,-2.21771688296553,-2.1793468942276,0.0383699887379305
36.818073,-2.54291,-2.16973459085998,-2.20305534436034,-0.0333207535003646
36.817398,-2.545138,-2.20781307351605,-2.13274253796699,0.0750705355490542
36.813491,-2.041086,-2.11549764157713,-2.15328653934109,-0.037788897763952
36.824308,-2.518449,-2.19233796561505,-2.23346094654967,-0.0411229809346239
36.818552,-2.533686,-2.26591994791599,-2.11421516798929,0.151704779926706
36.76189,-2.101263,-2.37755722934658,-2.19793119388505,0.179626035461535
36.813957,-2.559509,-2.16191162594701,-2.13037838230551,0.0315332436414999
36.773703,-2.069534,-2.10802714206831,-2.13519096343839,-0.0271638213700753
36.936878,-1.935685,-2.19093183702786,-2.2746957318415,-0.0837638948136426
36.4776,-4.9725,-2.16127188516502,-2.06689441415223,0.0943774710127925
