lat_zone,slope_diff,site_type
Tropical,0.0341763580082146,other
Tropical,0.134063625814407,other
Tropical,0.294710010344867,other
Tropical,0.161358476831676,other
Tropical,-0.0390953290001721,other
Tropical,0.0629372971263362,other
Tropical,0.0996373755480238,other
Tropical,0.101784603447213,other
Tropical,0.111624188281062,other
Tropical,0.0737604987005796,other
Tropical,0.0257924360242123,other
Tropical,0.0686968242432449,other
Tropical,0.117481439770384,other
Tropical,0.0912771042692002,other
Tropical,0.0860656986835608,other
Tropical,0.0599994254224727,other
Tropical,0.0514226709746901,other
Tropical,0.0764682185417493,other
Tropical,0.155186448719202,other
Tropical,0.0375323778343604,other
Tropical,0.0768238694126993,other
Tropical,0.102528270344706,other
Tropical,0.05165437087989,other
Tropical,0.0595748427574669,other
Tropical,0.0666146912225929,other
Tropical,0.0206486499491305,other
Tropical,-0.0252733954117166,other
Tropical,0.0661875007298063,other
Tropical,0.103450714021059,other
Tropical,0.0179867265660194,other
Tropical,0.051953323333092,other
Tropical,-0.0156329302454341,other
Tropical,-0.00755607734395314,other
Tropical,-0.0238881974341498,other
Tropical,-0.0840953209289928,other
Tropical,-0.0410436522778004,other
Tropical,0.023864054094326,other
Tropical,-0.0213071784766938,other
Tropical,0.00223241388055939,other
Tropical,-0.0340239141808976,other
Tropical,-0.0701090234679009,other
Tropical,-0.0722144221371384,other
Tropical,-0.0324408462116077,other
Tropical,-0.0263735706572343,other
Tropical,0.00146141765779761,other
Tropical,-0.0116208301047123,other
Tropical,-0.0219567588770901,other
Tropical,-0.00737864990897053,other
Tropical,-0.0271128667849543,other
Tropical,-0.0273477079604358,other
Tropical,-0.0351794823040523,other
Tropical,-0.0155733314818187,other
Tropical,-0.000347071161580281,other
Tropical,-0.0372055614762217,other
Tropical,0.0155740245789002,other
Tropical,-0.00429910419000668,other
Tropical,0.00064920937931312,other
Temperate,0.0383699887379305,other
Temperate,-0.0333207535003646,other
Temperate,0.0750705355490542,other
Temperate,-0.037788897763952,other
Temperate,-0.0411229809346239,other
Temperate,0.151704779926706,other
Temperate,0.179626035461535,other
Temperate,0.0315332436414999,other
Temperate,-0.0271638213700753,other
Temperate,-0.0837638948136426,other
Temperate,0.0943774710127925,other
Temperate,-0.00583588619943898,other
Temperate,-0.0685561457939987,other
Temperate,-0.0242367703654725,other
Temperate,0.0494673129443402,other
Temperate,-0.110602388828786,other
Temperate,0.0290510562709301,other
Temperate,-0.138935740869878,other
Temperate,-0.101947003140185,other
Temperate,-0.0823705771187018,other
Temperate,-0.0863565952371204,other
Temperate,-0.0471536749073795,other
Temperate,-0.0333906178289256,other
Temperate,0.0342393696954151,other
Temperate,-0.12692418035522,other
Temperate,-0.0196835418979289,other
Temperate,0.0182638164526634,other
Temperate,-0.0357403493121056,other
Temperate,0.0733262910701376,other
Temperate,-0.092552302158726,other
Temperate,-0.104324408645038,other
Temperate,0.0924559006593064,other
Temperate,-0.121713883350072,other
Temperate,0.0215700877247094,other
Temperate,-0.157398528294014,other
Temperate,-0.154594670542619,other
Temperate,-0.339702689982088,other
Temperate,-0.137161861045728,other
Temperate,-0.138893282858782,other
Temperate,0.0622562582358204,other
Temperate,-0.0163555927509873,other
Temperate,0.0108555673324182,other
Temperate,-0.263938079964107,other
Temperate,-0.276132846939829,other
Temperate,-0.271262022994866,other
Temperate,-0.0305526808390773,other
Temperate,-0.0879502515945445,other
Temperate,-0.0482144453209652,other
Temperate,-0.028785960165012,other
Temperate,-0.0589307299564439,other
Temperate,-0.134965804264702,other
Temperate,-0.177582242636231,other
Temperate,-0.21671691653439,other
Temperate,-0.0607175943754368,other
Temperate,0.0304247244206226,other
Temperate,-0.174616576494548,other
Temperate,0.0521731400914614,other
Temperate,0.0661121690473685,other
Temperate,-0.0954559893881033,other
Temperate,-0.0685442651696055,other
Temperate,-0.139312776934417,other
Temperate,-0.222528913592556,other
Temperate,0.0802030174382664,other
Temperate,0.0579687764625581,other
Temperate,-0.123795081952457,other
Temperate,-0.883077151374358,other
Temperate,-1.14711595505281,other
Temperate,-0.875809828051881,other
Temperate,-0.901883150128085,other
Temperate,-0.711757151039801,other
Temperate,-0.838717020848673,other
Temperate,-0.791088083369556,other
Temperate,-0.766518502926977,other
Temperate,-0.930824976256025,other
Temperate,-0.925503479829164,other
Temperate,-0.88908224223604,other
Temperate,-0.932522249139147,other
Temperate,-0.834138867262428,other
Temperate,-0.337164563700553,other
Temperate,-0.376331052503499,other
Temperate,-0.219770261194749,other
Temperate,-0.156949188290684,other
Temperate,-0.305381161000414,other
Temperate,-0.305186654361086,other
Tropical,-0.023751666407549,other
Tropical,-0.0452251736501772,other
Tropical,-0.353201934419072,other
Tropical,-0.0825006267076334,other
Tropical,-0.0367268777860765,other
Tropical,-0.0426400554286208,other
Tropical,-0.0149521272324917,other
Tropical,-0.200177893531635,other
Tropical,-0.0942699320652332,other
Tropical,-0.105235642519939,other
Tropical,-0.113848187427446,other
Tropical,-0.151103364086223,other
Tropical,-0.0473553991882372,other
Temperate,0.0288685142599925,other
Temperate,-0.0111006537400449,other
Temperate,-0.0810361302841867,other
Temperate,-0.122106877629012,other
Temperate,-0.0238601721958365,other
Temperate,-0.127305815282701,other
Temperate,-0.147863697185096,other
Temperate,-0.0745180589618135,other
Temperate,-0.112201759399976,other
Temperate,-0.113641409944633,other
Temperate,-0.0917888860260523,other
Temperate,-0.111107818470217,other
Temperate,0.0700905265810701,other
Temperate,-0.00945501990132591,other
Temperate,-0.00442310080686292,other
Temperate,-0.134072108900106,other
Temperate,-0.0678611095593487,other
