bin_mid,norm_density,group_ordered
3072,4.8828125e-07,fish-only
12288,6.103515625e-08,fish-only
48,0.015171875,fish-only
96,0.00390625,fish-only
192,0.00157421875,fish-only
384,0.000720703125,fish-only
768,0.00028125,fish-only
1536,1.46484375e-05,fish-only
3072,1.611328125e-05,fish-only
48,0.00515625,fish-only
96,0.001515625,fish-only
192,0.0008984375,fish-only
384,0.00014453125,fish-only
768,0.000171875,fish-only
1536,4.4921875e-05,fish-only
3072,1.953125e-06,fish-only
48,0.00703125,fish-only
96,0.0041640625,fish-only
192,0.00203515625,fish-only
384,0.00058203125,fish-only
768,0.000162109375,fish-only
1536,1.26953125e-05,fish-only
3072,9.765625e-07,fish-only
6144,1.220703125e-07,fish-only
49152,1.52587890625e-08,fish-only
48,0.0036875,fish-only
96,0.0016875,fish-only
192,0.00078515625,fish-only
384,6.0546875e-05,fish-only
768,0.000103515625,fish-only
1536,2.197265625e-05,fish-only
3072,1.220703125e-06,fish-only
6144,1.220703125e-07,fish-only
48,0.0050625,fish-only
96,0.001,fish-only
192,0.000140625,fish-only
384,3.90625e-05,fish-only
768,7.03125e-05,fish-only
1536,5.37109375e-05,fish-only
3072,1.953125e-06,fish-only
48,0.002203125,fish-only
96,0.000390625,fish-only
192,0.000203125,fish-only
384,0.000158203125,fish-only
768,9.765625e-05,fish-only
1536,1.26953125e-05,fish-only
3072,1.46484375e-06,fish-only
48,0.005078125,fish-only
96,0.0012109375,fish-only
192,0.00036328125,fish-only
384,0.000146484375,fish-only
768,0.0001064453125,fish-only
1536,3.759765625e-05,fish-only
3072,3.90625e-06,fish-only
6144,4.8828125e-07,fish-only
12288,1.8310546875e-07,fish-only
48,0.007,fish-only
96,0.00303125,fish-only
192,0.0003984375,fish-only
384,9.375e-05,fish-only
768,0.000111328125,fish-only
1536,3.22265625e-05,fish-only
3072,1.46484375e-06,fish-only
6144,7.32421875e-07,fish-only
48,0.004125,fish-only
96,0.002,fish-only
192,0.00465625,fish-only
384,0.00022265625,fish-only
768,0.0002255859375,fish-only
1536,1.953125e-05,fish-only
3072,7.32421875e-07,fish-only
48,0.002546875,fish-only
96,0.0021015625,fish-only
192,0.000859375,fish-only
384,0.0002734375,fish-only
768,0.00014453125,fish-only
1536,3.90625e-05,fish-only
3072,3.41796875e-06,fish-only
48,0.0080625,fish-only
96,0.003890625,fish-only
192,0.0007109375,fish-only
384,0.0001171875,fish-only
768,0.0001015625,fish-only
1536,1.46484375e-05,fish-only
3072,1.953125e-06,fish-only
6144,1.708984375e-05,fish-only
48,0.1085,fish-only
96,0.0020625,fish-only
192,0.00103125,fish-only
384,0.00034375,fish-only
768,4.296875e-05,fish-only
1536,2.734375e-05,fish-only
3072,5.859375e-06,fish-only
24576,3.662109375e-07,fish-only
49152,6.103515625e-08,fish-only
48,0.00740625,fish-only
96,0.0014375,fish-only
192,0.0004765625,fish-only
384,0.00016796875,fish-only
768,5.859375e-05,fish-only
1536,5.859375e-06,fish-only
3072,4.8828125e-07,fish-only
48,0.004125,fish-only
96,0.000875,fish-only
192,0.000171875,fish-only
384,0.0001171875,fish-only
768,2.734375e-05,fish-only
1536,4.296875e-05,fish-only
3072,7.8125e-06,fish-only
6144,9.765625e-07,fish-only
49152,6.103515625e-08,fish-only
48,0.0030625,fish-only
96,0.0003125,fish-only
192,0.0003125,fish-only
384,0.000203125,fish-only
768,3.515625e-05,fish-only
1536,2.1484375e-05,fish-only
3072,3.90625e-06,fish-only
6144,1.46484375e-06,fish-only
48,0.00171875,fish-only
96,0.00084375,fish-only
192,0.0004140625,fish-only
384,0.00016796875,fish-only
768,5.859375e-05,fish-only
1536,1.46484375e-05,fish-only
3072,8.7890625e-06,fish-only
6144,3.173828125e-06,fish-only
12288,2.44140625e-07,fish-only
24576,1.220703125e-07,fish-only
49152,6.103515625e-08,fish-only
48,0.000625,fish-only
96,0.001,fish-only
192,0.00075,fish-only
384,0.0001015625,fish-only
768,0.0002109375,fish-only
1536,2.5390625e-05,fish-only
3072,7.8125e-06,fish-only
6144,4.8828125e-07,fish-only
24576,1.220703125e-07,fish-only
48,0.00165625,fish-only
96,0.0004375,fish-only
192,0.0003046875,fish-only
384,6.25e-05,fish-only
768,0.00013671875,fish-only
1536,2.24609375e-05,fish-only
3072,2.9296875e-06,fish-only
6144,1.220703125e-06,fish-only
48,0.00359375,fish-only
96,0.00175,fish-only
192,0.0011328125,fish-only
384,0.00051953125,fish-only
768,0.0001015625,fish-only
1536,4.00390625e-05,fish-only
3072,5.37109375e-06,fish-only
6144,2.44140625e-07,fish-only
48,0.0018125,fish-only
96,0.0014375,fish-only
192,0.001109375,fish-only
384,0.000328125,fish-only
768,0.00025,fish-only
1536,4.8828125e-05,fish-only
3072,5.859375e-06,fish-only
12288,2.44140625e-07,fish-only
49152,6.103515625e-08,fish-only
48,0.003875,fish-only
96,0.00153125,fish-only
192,0.000796875,fish-only
384,0.000203125,fish-only
768,0.0003515625,fish-only
1536,3.90625e-05,fish-only
3072,1.46484375e-05,fish-only
6144,4.39453125e-06,fish-only
12288,9.765625e-07,fish-only
48,0.0025625,fish-only
96,0.00059375,fish-only
192,0.000453125,fish-only
384,0.0062734375,fish-only
768,7.8125e-06,fish-only
48,0.0014375,fish-only
96,0.00146875,fish-only
192,0.000203125,fish-only
384,4.6875e-05,fish-only
1536,1.953125e-06,fish-only
48,0.0165625,fish-only
96,0.0033125,fish-only
192,0.0001875,fish-only
48,0.0025,fish-only
96,5e-04,fish-only
192,0.000328125,fish-only
384,2.34375e-05,fish-only
48,0.0696875,fish-only
96,0.0015625,fish-only
192,5e-04,fish-only
384,3.125e-05,fish-only
48,0.0135625,fish-only
96,0.0039375,fish-only
192,0.00146875,fish-only
384,1.5625e-05,fish-only
48,0.0056875,fish-only
96,0.01534375,fish-only
192,0.002140625,fish-only
384,0.000859375,fish-only
768,0.0003359375,fish-only
6144,4.8828125e-07,fish-only
48,0.0005625,fish-only
96,0.00071875,fish-only
192,0.000546875,fish-only
384,7.03125e-05,fish-only
768,3.515625e-05,fish-only
48,0.007125,fish-only
96,0.00046875,fish-only
192,0.00034375,fish-only
384,1.5625e-05,fish-only
48,0.00125,fish-only
96,0.00109375,fish-only
192,0.001453125,fish-only
384,7.8125e-06,fish-only
768,7.8125e-06,fish-only
