species_name,size_class,LMAX
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,2.5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
Haliotis rubra,5,22
