log_lmax,L_mean_log,class
2.19722457733622,1.532225109128,Echinoidea
2.30258509299405,1.33821127484331,Echinoidea
1.79175946922806,1.47080847632211,Echinoidea
1.79175946922806,1.88805426529622,Echinoidea
3.09104245335832,1.26993130429351,Asteroidea
3.91202300542815,0.985066318883884,Asteroidea
3.25809653802148,0.916290731874155,Asteroidea
2.89037175789616,2.2461213395158,Asteroidea
2.70805020110221,1.48645346841654,Asteroidea
3.17805383034795,1.37540816739139,Asteroidea
2.19722457733622,1.51565831721622,Asteroidea
2.30258509299405,1.67459620776861,Asteroidea
3.17805383034795,2.01896008833108,Asteroidea
2.56494935746154,2.30767568121199,Cephalopoda
3.58351893845611,2.40723472174696,Asteroidea
2.484906649788,0.916290731874155,Asteroidea
2.19722457733622,1.74024994837524,Asteroidea
2.19722457733622,1.177300972116,Echinoidea
2.30258509299405,2.03340427370347,Echinoidea
2.83321334405622,1.87380244603145,Echinoidea
3.13549421592915,2.57799860664015,Gastropoda
3.09104245335832,2.28816824437282,Gastropoda
2.70805020110221,2.11608692697521,Gastropoda
1.6094379124341,1.13862702094309,Gastropoda
2.89037175789616,2.6080153369521,Gastropoda
2.07944154167984,1.44304453289409,Gastropoda
4.38202663467388,3.34450961892783,Cephalopoda
2.484906649788,1.85583480572163,Gastropoda
2.39789527279837,1.19354960409813,Gastropoda
2.83321334405622,1.54404929556665,Gastropoda
4.00733318523247,2.80343592225536,Cephalopoda
2.30258509299405,1.28037948363145,Gastropoda
1.6094379124341,2.01490302054226,Gastropoda
2.30258509299405,2.15874405676816,Gastropoda
4.38202663467388,3.12068319656917,Cephalopoda
1.09861228866811,0.916290731874155,Gastropoda
3.13549421592915,2.15035446308656,Malacostraca
1.94591014905531,1.3394801796098,Malacostraca
2.70805020110221,1.67484393040467,Gastropoda
2.19722457733622,1.04031588791708,Echinoidea
3.13549421592915,2.70805020110221,Gastropoda
2.89037175789616,2.99573227355399,Asteroidea
2.39789527279837,2.22156730559773,Echinoidea
2.484906649788,1.83858301302023,Gastropoda
2.30258509299405,0.916290731874155,Gastropoda
2.07944154167984,1.7899152343841,Malacostraca
2.70805020110221,1.6094379124341,Gastropoda
2.70805020110221,0.935008301547418,Echinoidea
1.79175946922806,1.55016429790578,Gastropoda
1.09861228866811,0.916290731874155,Gastropoda
2.33214389523559,2.99573227355399,Gastropoda
2.99573227355399,1.86903483184299,Malacostraca
1.87180217690159,1.6094379124341,Malacostraca
2.19722457733622,1.6094379124341,Gastropoda
2.02814824729229,1.41327206183176,Gastropoda
2.56494935746154,0.916290731874155,Gastropoda
2.12823170584927,0.916290731874155,Gastropoda
3.2188758248682,1.95601150271407,Gastropoda
1.79175946922806,1.47080847632211,Gastropoda
3.40119738166216,2.0404476683474,Asteroidea
3.04452243772342,2.30258509299405,Malacostraca
2.19722457733622,1.36240651488902,Malacostraca
4.38202663467388,2.7763645434522,Asteroidea
3.09104245335832,0.966385581362521,Crinoidea
1.79175946922806,1.21335380925699,Gastropoda
2.07944154167984,0.916290731874155,Crinoidea
2.07944154167984,1.97393364523768,Gastropoda
3.2188758248682,1.95992608528615,Echinoidea
3.40119738166216,0.917210936512482,Echinoidea
2.14006616349627,1.50088972926154,Echinoidea
0.78845736036427,0.916290731874155,Echinoidea
1.94591014905531,1.03181526196748,Asteroidea
1.94591014905531,0.916290731874155,Asteroidea
3.2188758248682,2.62385713817657,Holothuroidea
3.91202300542815,2.02522946450441,Holothuroidea
3.46573590279973,2.27063527054342,Asteroidea
