lat_zone,name,value,lat_zone_ordered,name_ordered
Tropical,slope_comb,-1.66143699392927,Tropical,slope_comb
Tropical,slope_fish,-1.64586366244745,Tropical,slope_fish
Tropical,slope_comb,-1.72641013815956,Tropical,slope_comb
Tropical,slope_fish,-1.72606306699798,Tropical,slope_fish
Tropical,slope_comb,-1.63763719293426,Tropical,slope_comb
Tropical,slope_fish,-1.60043163145804,Tropical,slope_fish
Tropical,slope_comb,-1.80204929152006,Tropical,slope_comb
Tropical,slope_fish,-1.81762331609896,Tropical,slope_fish
Tropical,slope_comb,-1.76340623133496,Tropical,slope_comb
Tropical,slope_fish,-1.75910712714495,Tropical,slope_fish
Tropical,slope_comb,-1.62972561768056,Tropical,slope_comb
Tropical,slope_fish,-1.63037482705987,Tropical,slope_fish
Temperate,slope_comb,-2.1793468942276,Temperate,slope_comb
Temperate,slope_fish,-2.21771688296553,Temperate,slope_fish
Temperate,slope_comb,-2.20305534436034,Temperate,slope_comb
Temperate,slope_fish,-2.16973459085998,Temperate,slope_fish
Temperate,slope_comb,-2.13274253796699,Temperate,slope_comb
Temperate,slope_fish,-2.20781307351605,Temperate,slope_fish
Temperate,slope_comb,-2.15328653934109,Temperate,slope_comb
Temperate,slope_fish,-2.11549764157713,Temperate,slope_fish
Temperate,slope_comb,-2.23346094654967,Temperate,slope_comb
Temperate,slope_fish,-2.19233796561505,Temperate,slope_fish
Temperate,slope_comb,-2.11421516798929,Temperate,slope_comb
Temperate,slope_fish,-2.26591994791599,Temperate,slope_fish
Temperate,slope_comb,-2.19793119388505,Temperate,slope_comb
Temperate,slope_fish,-2.37755722934658,Temperate,slope_fish
Temperate,slope_comb,-2.13037838230551,Temperate,slope_comb
Temperate,slope_fish,-2.16191162594701,Temperate,slope_fish
Temperate,slope_comb,-2.13519096343839,Temperate,slope_comb
Temperate,slope_fish,-2.10802714206831,Temperate,slope_fish
Temperate,slope_comb,-2.2746957318415,Temperate,slope_comb
Temperate,slope_fish,-2.19093183702786,Temperate,slope_fish
Temperate,slope_comb,-2.06689441415223,Temperate,slope_comb
Temperate,slope_fish,-2.16127188516502,Temperate,slope_fish
Temperate,slope_comb,-2.15785801325006,Temperate,slope_comb
Temperate,slope_fish,-2.15202212705062,Temperate,slope_fish
Temperate,slope_comb,-2.25736458019032,Temperate,slope_comb
Temperate,slope_fish,-2.18880843439632,Temperate,slope_fish
Temperate,slope_comb,-2.23739486577852,Temperate,slope_comb
Temperate,slope_fish,-2.21315809541305,Temperate,slope_fish
Temperate,slope_comb,-2.15125956896685,Temperate,slope_comb
Temperate,slope_fish,-2.20072688191119,Temperate,slope_fish
Temperate,slope_comb,-2.32884333076223,Temperate,slope_comb
Temperate,slope_fish,-2.21824094193344,Temperate,slope_fish
Temperate,slope_comb,-1.97433627791286,Temperate,slope_comb
Temperate,slope_fish,-2.00338733418379,Temperate,slope_fish
Temperate,slope_comb,-2.12812183736852,Temperate,slope_comb
Temperate,slope_fish,-1.98918609649864,Temperate,slope_fish
Temperate,slope_comb,-2.25618447167223,Temperate,slope_comb
Temperate,slope_fish,-2.15423746853205,Temperate,slope_fish
Temperate,slope_comb,-2.21290045597386,Temperate,slope_comb
Temperate,slope_fish,-2.13052987885516,Temperate,slope_fish
Temperate,slope_comb,-2.22518704683597,Temperate,slope_comb
Temperate,slope_fish,-2.13883045159885,Temperate,slope_fish
Temperate,slope_comb,-2.21888448486521,Temperate,slope_comb
Temperate,slope_fish,-2.17173080995783,Temperate,slope_fish
Temperate,slope_comb,-2.17947394071408,Temperate,slope_comb
Temperate,slope_fish,-2.14608332288516,Temperate,slope_fish
Temperate,slope_comb,-2.1987081702911,Temperate,slope_comb
Temperate,slope_fish,-2.23294753998651,Temperate,slope_fish
Temperate,slope_comb,-2.24211745427494,Temperate,slope_comb
Temperate,slope_fish,-2.11519327391972,Temperate,slope_fish
Temperate,slope_comb,-2.17598456840234,Temperate,slope_comb
Temperate,slope_fish,-2.15630102650442,Temperate,slope_fish
Temperate,slope_comb,-2.15654643699748,Temperate,slope_comb
Temperate,slope_fish,-2.17481025345014,Temperate,slope_fish
Temperate,slope_comb,-2.13344458691479,Temperate,slope_comb
