ecoregion,bin_mid,norm_density,fit,ecoregion_trim,site_id
Alboran Sea,48,0.0106875,0.00936758214202624,Alboran Sea,90
Alboran Sea,48,0.0495625,0.0331380155302001,Alboran Sea,91
Alboran Sea,48,0.010375,0.0218834379755874,Alboran Sea,92
Alboran Sea,48,0.0638125,0.0460657942370403,Alboran Sea,93
Alboran Sea,48,0.05003125,0.0375347900289651,Alboran Sea,94
Alboran Sea,48,0.0235,0.0232757056373185,Alboran Sea,95
Alboran Sea,48,0.046875,0.0408584792850142,Alboran Sea,96
Alboran Sea,48,0.041,0.0353580514677086,Alboran Sea,97
Alboran Sea,48,0.02346875,0.0282515055821112,Alboran Sea,98
Alboran Sea,48,0.0275625,0.0296881056916752,Alboran Sea,99
Alboran Sea,48,0.02528125,0.0222414658235344,Alboran Sea,100
Alboran Sea,48,0.0150625,0.0124692431415909,Alboran Sea,101
Alboran Sea,48,0.03109375,0.0200553772098214,Alboran Sea,102
Alboran Sea,48,0.05303125,0.0500946865496808,Alboran Sea,103
Alboran Sea,48,0.13625,0.0400499196360608,Alboran Sea,104
Alboran Sea,48,0.07209375,0.0660467412103918,Alboran Sea,105
Alboran Sea,48,0.053625,0.0253007868694905,Alboran Sea,106
Alboran Sea,48,0.01109375,0.0145062343421604,Alboran Sea,107
Alboran Sea,48,0.00765625,0.0098194202021048,Alboran Sea,108
Saharan Upwelling,48,0.0096875,0.00553965633705854,Saharan Upwelling,109
Saharan Upwelling,48,0.00425,0.002721346686743,Saharan Upwelling,110
Alboran Sea,48,0.0361875,0.0243906966372225,Alboran Sea,111
Alboran Sea,48,0.1373125,0.0905099728685482,Alboran Sea,112
Saharan Upwelling,48,0.0025625,0.00537493300507058,Saharan Upwelling,113
Alboran Sea,48,0.11528125,0.0581983431418352,Alboran Sea,114
Alboran Sea,48,0.00721875,0.0108387204179053,Alboran Sea,115
Alboran Sea,48,0.003,0.00721362074522662,Alboran Sea,116
Alboran Sea,48,0.00359375,0.00594962235493752,Alboran Sea,117
Alboran Sea,48,0.00090625,0.00287726437809586,Alboran Sea,118
Alboran Sea,48,0.0006875,0.00229391603915167,Alboran Sea,119
Alboran Sea,48,0.03525,0.0177066872109214,Alboran Sea,120
Alboran Sea,48,0.08825,0.0645887114122961,Alboran Sea,121
Alboran Sea,48,0.1118125,0.0939359917984607,Alboran Sea,122
North Patagonian Gulfs,48,0.575375,0.04935368611834,North Patagonian...,123
North Patagonian Gulfs,48,0.09775,0.0146193325813954,North Patagonian...,124
North Patagonian Gulfs,48,0.089875,0.0247740660568905,North Patagonian...,125
North Patagonian Gulfs,48,0.01090625,0.00703580052483435,North Patagonian...,126
North Patagonian Gulfs,48,0.0195625,0.0189182464045621,North Patagonian...,127
North Patagonian Gulfs,48,0.0454375,0.0250881061839719,North Patagonian...,128
North Patagonian Gulfs,48,0.155125,0.0346613507173969,North Patagonian...,129
North Patagonian Gulfs,48,0.0405625,0.0399932535664444,North Patagonian...,130
North Patagonian Gulfs,48,0.1140625,0.0293101943348196,North Patagonian...,131
North Patagonian Gulfs,48,0.413625,0.0204280446301247,North Patagonian...,132
North Patagonian Gulfs,48,0.264,0.0325503570765832,North Patagonian...,133
North Patagonian Gulfs,48,0.03103125,0.0131641333438148,North Patagonian...,134
North Patagonian Gulfs,48,0.00696875,0.00353391668079229,North Patagonian...,135
South European Atlantic Shelf,48,0.00134375,0.00253749933907023,South European A...,136
South European Atlantic Shelf,48,0.00665625,0.0112264441284449,South European A...,137
South European Atlantic Shelf,48,0.002875,0.00358395560752879,South European A...,138
South European Atlantic Shelf,48,0.00078125,0.00155459961535372,South European A...,139
South European Atlantic Shelf,48,0.01153125,0.00669436163787463,South European A...,140
South European Atlantic Shelf,48,0.00203125,0.00322561070662557,South European A...,141
Banda Sea,48,0.008875,0.0272561120847438,Banda Sea,142
Banda Sea,48,0.01853125,0.0171968436635872,Banda Sea,143
Banda Sea,48,0.01228125,0.00348398468581103,Banda Sea,144
Banda Sea,48,0.00615625,0.00902477595412897,Banda Sea,145
Banda Sea,48,0.01075,0.0204238922731615,Banda Sea,146
Banda Sea,48,0.00584375,0.0188866379223888,Banda Sea,147
Banda Sea,48,0.01490625,0.0287716230532822,Banda Sea,148
Banda Sea,48,0.00175,0.00377324005883675,Banda Sea,149
Banda Sea,48,0.00640625,0.00884767211744014,Banda Sea,150
Banda Sea,48,0.00103125,0.00648061017006013,Banda Sea,151
Banda Sea,48,0.00340625,0.00787381058111887,Banda Sea,152
Banda Sea,48,0.00990625,0.0114306834745046,Banda Sea,153
Banda Sea,48,0.01253125,0.0184015907706567,Banda Sea,154
Western Mediterranean,48,0.0263125,0.01322821611521,Western Mediterr...,155
Western Mediterranean,48,0.01040625,0.00702018055636998,Western Mediterr...,156
Western Mediterranean,48,0.005,0.0038713577434148,Western Mediterr...,157
Western Mediterranean,48,0.00596875,0.00501210833671802,Western Mediterr...,158
Western Mediterranean,48,0.00271875,0.00285139801633689,Western Mediterr...,159
Western Mediterranean,48,0.005,0.0035394210785775,Western Mediterr...,160
Western Mediterranean,48,0.01434375,0.00845503864307945,Western Mediterr...,161
Western Mediterranean,48,0.00759375,0.00413894378199242,Western Mediterr...,162
Western Mediterranean,48,0.001,0.00122901893788412,Western Mediterr...,163
Western Mediterranean,48,0.00071875,0.000779882065174273,Western Mediterr...,164
Western Mediterranean,48,0.01028125,0.00508249172555939,Western Mediterr...,165
Western Mediterranean,48,0.0234375,0.0112473157406762,Western Mediterr...,166
Western Mediterranean,48,0.00115625,0.00209556380330062,Western Mediterr...,167
Western Mediterranean,48,0.00353125,0.00273462268801931,Western Mediterr...,168
Western Mediterranean,48,0.003,0.0030756986696943,Western Mediterr...,169
Western Mediterranean,48,0.00203125,0.0022762170753999,Western Mediterr...,170
Western Mediterranean,48,0.02840625,0.0126870079140192,Western Mediterr...,171
Western Mediterranean,48,0.00715625,0.00395131529669797,Western Mediterr...,172
Western Mediterranean,48,0.0129375,0.00415441260748858,Western Mediterr...,173
Western Mediterranean,48,0.0070625,0.00466747011441103,Western Mediterr...,174
Western Mediterranean,48,0.00609375,0.00408680299031189,Western Mediterr...,175
Western Mediterranean,48,5e-04,0.00057147588492431,Western Mediterr...,176
Western Mediterranean,48,0.02009375,0.00555376626156164,Western Mediterr...,177
